name        ,type ,op                ,1              ,2              ,3                ,4             ,5                ,6              ,7
LBE         ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,LBE 6 101100     ,               ,
LBUE        ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,LBUE 6 101000    ,               ,
LHE         ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,LHE 6 101101     ,               ,
LHUE        ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,LHUE 6 101001    ,               ,
LL          ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,LL 6 110110      ,               ,
LLE         ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,LLE 6 101110     ,               ,
LLWP        ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,rd 5 - 2         ,0 4 0         ,1 1 1            ,LL 6 110110    ,
LLWPE       ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,rd 5 - 2         ,0 4 0         ,1 1 1            ,LLE 6 101110   ,
LSA         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,0 3 0         ,sa 2 - 4         ,LSA 6 000101   ,
LWE         ,R    ,SPECIAL3 6 011111 ,base 5 ~       ,rt 5 - 1       ,offset 9 - 2     ,0 1 0         ,LWE 6 101111     ,               ,
MADDF.fmt   ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,MADDF 6 011000   ,               ,
MAX.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,MAX 6 011110     ,               ,
MAXA.fmt    ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,MAXA 6 011111    ,               ,
MFC0        ,R    ,COP0 6 010000     ,MF 5 0         ,rt 5 - 1       ,rd 5 - 2         ,0 8 0         ,sel 3 - 3        ,               ,
MFC1        ,R    ,COP1 6 010001     ,MF 5 0         ,rt 5 - 1       ,fs 5 - 2         ,0 11 0        ,                 ,               ,
MFHC0       ,R    ,COP0 6 010000     ,MFH 5 00010    ,rt 5 - 1       ,rd 5 - 2         ,0 8 0         ,sel 3 - 3        ,               ,
MFHC1       ,R    ,COP1 6 010001     ,MFH 5 00011    ,rt 5 - 1       ,fs 5 - 2         ,0 11 0        ,                 ,               ,
MIN.fmt     ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,MIN 6 011100     ,               ,
MINA.fmt    ,R    ,COP1 6 010001     ,fmt 5 ? SD     ,ft 5 - 3       ,fs 5 - 2         ,fd 5 - 1      ,MINA 6 011101    ,               ,
MOD         ,R    ,SPECIAL 6 000000  ,rs 5 - 2       ,rt 5 - 3       ,rd 5 - 1         ,MOD 5 00011   ,SOP32 6 011010   ,               ,
