name        ,type ,op                ,1              ,2              ,3                ,4             ,5                ,6              ,7
MFHC2       ,I    ,COP2 6 010010     ,MFH 5 00011    ,rt 5 - 1       ,Impl 16 - 2      ,              ,                 ,               ,
MTC2        ,I    ,COP2 6 010010     ,MT 5 00100     ,rt 5 - 1       ,Impl 16 - 2      ,              ,                 ,               ,
MTHC2       ,I    ,COP2 6 010010     ,MTH 5 00111    ,rt 5 - 1       ,Impl 16 - 2      ,              ,                 ,               ,
ORI         ,I    ,ORI 6 001101      ,rs 5 - 2       ,rt 5 - 1       ,imme 16 - 3      ,              ,                 ,               ,
SB          ,I    ,SB 6 101000       ,base 5 ~       ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
SDC1        ,I    ,SDC1 6 111101     ,base 5 ~       ,ft 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
SDC2        ,I    ,COP2 6 010010     ,SDC2 5 01111   ,rt 5 - 1       ,base 5 ~         ,offset 11 - 2 ,                 ,               ,
SH          ,I    ,SH 6 101001       ,base 5 ~       ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
SIGRIE      ,I    ,REGIMM 6 000001   ,0 5 0          ,SIGRIE 5 10111 ,code 16 - 1      ,              ,                 ,               ,
SLTI        ,I    ,SLTI 6 001010     ,rs 5 - 2       ,rt 5 - 1       ,imme 16 - 3      ,              ,                 ,               ,
SLTIU       ,I    ,SLTI 6 001011     ,rs 5 - 2       ,rt 5 - 1       ,imme 16 - 3      ,              ,                 ,               ,
SW          ,I    ,SW 6 101011       ,base 5 ~       ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
SWC1        ,I    ,SWC1 6 111001     ,base 5 ~       ,ft 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
SWC2        ,I    ,COP2 6 010010     ,SWC2 5 01011   ,rt 5 - 1       ,base 5 ~         ,offset 11 - 2 ,                 ,               ,
SWL         ,I    ,SWL 6 101010      ,base 5 ~       ,rt 5 - 1       ,offset 16 - 2    ,              ,                 ,               ,
SYNCI       ,I    ,REGIMM 6 000001   ,base 5 ~       ,SYNCI 5 11111  ,offset 16 - 1    ,              ,                 ,               ,
XORI        ,I    ,XORI 6 001110     ,rs 5 - 2       ,rt 5 - 1       ,imme 16 - 3      ,              ,                 ,               ,
J           ,J    ,J 6 000010        ,target 26 - 1  ,               ,                 ,              ,                 ,               ,
JAL         ,J    ,JAL 6 000011      ,target 26 - 1  ,               ,                 ,              ,                 ,               ,
JALX        ,J    ,JALX 6 011101     ,target 26 - 1  ,               ,                 ,              ,                 ,               ,
